concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
195	23	22	27	48	85
187	24	18	22	43	83
194	22	31	23	44	84
218	59	35	24	51	88
217	26	19	24	44	83
210	0	4	24	36	85
222	24	24	23	37	85
230	0	43	17	38	85
227	29	102	24	34	92
217	30	21	24	47	87
240	0	75	3	107	92
241	27	13	26	44	96
235	57	18	16	84	69
257	24	26	26	51	87
309	32	48	17	55	92
278	44	0	33	56	81
284	11	91	25	37	79
263	24	16	24	43	88
253	23	7	24	51	96
272	32	26	29	57	107
262	27	25	19	50	87
254	13	22	20	46	93
203	46	0	6	37	79
171	28	22	23	45	88
165	26	0	22	49	94
185	25	26	24	46	91
258	32	36	26	45	95
223	24	13	19	48	96
224	24	18	27	50	98
271	17	48	24	54	98
202	29	21	22	60	95
187	25	23	22	55	94
203	55	46	23	56	91
236	21	16	23	61	87
243	26	14	22	59	87
237	34	115	24	60	88
239	26	27	22	65	90
237	28	23	25	66	89
230	26	22	20	72	87
255	29	26	17	82	83
263	22	17	21	74	84
261	24	28	23	76	83
266	11	6	25	48	99
266	11	6	25	48	99
209	22	32	25	77	84
171	53	16	20	59	79
151	23	16	21	67	82
153	21	21	24	62	79
139	23	25	25	66	79
121	32	36	51	99	74
126	28	35	20	64	78
102	29	31	24	71	77
107	22	19	27	67	80
97	25	20	20	64	77
112	27	0	21	68	80
110	23	20	24	67	79
139	23	30	17	72	75
209	21	55	16	96	71
186	24	25	24	72	74
196	25	28	21	71	74
217	26	28	19	71	78
197	23	21	28	75	81
185	24	23	23	65	80
200	25	27	25	70	80
190	17	22	41	63	89
197	23	23	22	61	95
262	24	23	26	62	102
230	30	32	25	81	92
247	35	37	25	67	106
241	25	39	27	63	105
230	29	23	27	61	86
238	18	29	30	91	94
277	33	0	29	68	89
256	17	50	24	69	76
244	28	27	28	52	93
248	27	39	19	82	84
241	57	0	41	101	95
241	25	0	21	80	92
309	27	19	26	56	97
299	29	22	23	59	117
247	27	70	28	58	103
216	33	42	32	58	98
238	37	66	20	45	78
201	43	51	25	50	100
160	27	16	24	55	97
138	33	9	23	38	98
138	33	9	23	38	98
119	32	0	29	49	91
100	26	20	26	55	91
83	30	24	27	87	84
104	25	16	25	59	80
131	28	26	28	58	81
169	58	53	33	60	78
200	26	36	24	55	77
221	28	21	23	53	78
222	25	0	28	55	62
234	21	17	26	58	72
224	25	23	30	56	69
250	19	42	29	59	62
223	23	33	29	47	69
228	26	20	27	47	67
206	25	0	24	70	76
199	24	21	25	40	66
191	26	20	28	46	67
210	23	23	27	55	68
196	28	40	22	41	72
178	24	29	27	77	68
136	19	0	22	70	56
159	24	29	37	65	65
201	22	19	25	78	65
274	0	114	13	27	74
333	14	18	23	79	69
317	24	51	30	56	67
