concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
203	47	20	24	28	65
194	47	23	29	30	69
178	39	49	30	2	67
143	54	20	25	21	70
135	57	47	23	29	73
133	47	13	27	28	78
144	46	25	26	27	77
143	47	23	27	28	77
135	53	42	30	33	78
142	52	17	24	34	79
123	46	39	31	31	83
139	25	0	20	0	84
105	47	21	24	31	86
112	37	0	29	51	89
138	56	24	31	34	86
141	52	12	25	36	88
126	69	122	0	22	82
145	55	19	27	31	83
127	58	21	29	28	84
102	59	0	32	78	98
100	59	28	30	32	83
124	64	19	27	31	79
96	56	22	26	60	77
120	55	27	27	29	74
177	65	96	0	8	71
237	55	10	40	0	77
183	54	132	26	27	100
156	36	51	12	14	78
202	70	25	29	53	72
166	44	63	21	23	77
176	44	149	21	19	76
169	54	0	19	31	72
136	39	144	15	8	104
100	38	26	28	21	83
108	48	12	24	33	73
179	46	0	30	0	94
149	54	35	32	43	77
138	48	3	13	23	69
138	48	3	13	23	69
117	46	20	29	32	71
125	46	17	26	30	73
72	79	0	32	69	56
130	45	22	27	35	77
171	45	55	34	60	98
129	25	0	22	30	70
156	38	0	52	60	87
196	49	0	36	0	81
211	49	32	24	35	60
224	45	17	19	25	57
202	47	22	27	30	58
198	47	110	34	59	82
198	48	29	30	38	62
175	48	31	34	37	59
109	0	0	26	39	56
127	40	28	28	29	60
136	37	14	38	6	34
131	47	65	32	44	62
113	40	0	47	77	67
116	41	13	27	56	50
125	39	26	29	52	58
120	47	32	26	101	54
103	51	30	29	43	59
69	50	25	28	41	58
56	39	12	20	33	40
95	54	18	19	29	54
94	49	8	30	39	57
129	58	17	26	38	53
173	43	136	0	4	55
184	57	16	21	35	49
183	64	148	43	57	43
121	56	31	28	43	48
118	54	52	26	46	46
118	54	81	16	19	34
113	50	26	44	23	38
116	50	18	25	45	40
128	51	36	42	93	43
120	51	32	26	46	37
119	57	19	24	43	40
122	52	16	23	41	37
119	56	18	24	43	39
158	57	61	16	49	51
186	61	20	29	48	41
186	61	20	29	48	41
196	62	22	24	42	41
172	65	0	0	94	47
187	89	53	26	48	45
158	56	26	23	52	69
211	69	75	29	47	48
269	74	14	23	43	37
263	49	48	40	58	44
292	63	20	24	39	45
273	69	127	20	41	43
292	70	49	13	42	47
272	69	26	27	45	48
245	74	70	32	55	55
301	63	17	27	43	55
311	66	19	22	45	56
340	69	54	29	53	49
346	69	31	26	48	63
320	66	31	29	44	56
296	64	20	32	48	60
219	66	23	23	41	53
219	99	30	18	75	44
